Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu],DOXY [ml/l]
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,89,6.98,19.223,1.03
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,89.0,6.97,19.266,0.93
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,0.2,16.51,8.5,4.36
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,1,16.33,8.482,4.4
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,5,16.35,8.491,4.4
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,10,16.36,8.536,4.46
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,15,16.41,8.566,4.51
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,20,16.43,8.582,4.56
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,25.4,16.42,8.59,4.56
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,30.5,16.31,8.686,4.51
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,35,12.73,9.036,4.21
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,40,8.88,9.92,3.53
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,42,14.1,16.084,3.09
????,1550,B,2015-09-16T07:49,55.0000,13.3000,0047,43.8,14.87,16.737,3.14
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,0.6,15.9,7.594,4.51
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,5,15.87,7.599,4.46
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,10,15.87,7.598,4.46
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,15.3,15.87,7.598,4.4
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,20.8,15.86,7.599,4.46
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,25.4,15.87,7.597,4.4
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,30,8.28,7.465,4.17
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,35.7,7.16,7.723,4.02
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,40.6,6.43,7.924,4.07
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,45.8,6.17,8.223,4.12
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,50.7,6.52,8.951,3.87
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,56,6.61,9.941,3.48
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,61,6.46,11.864,2.89
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,65.8,6.86,15.893,1.67
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,71,7.06,17.691,1.5
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,76,7.03,18.173,1.32
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,81,7.,18.639,1.13
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,86.6,6.98,19.299,0.54
????,1608,B,2015-09-23T10:13,55.2500,15.9833,0089,89.6,6.98,19.298,0.44
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,1,,,4.56
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,5,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,10,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,20,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,30,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,40,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,50,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,61,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,71,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,81,,,
????,1612,B,2015-09-23T11:20,55.2500,15.9833,0089,89,,,0.54
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,0.2,13.37,8.179,4.46
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,1.2,13.37,8.179,4.46
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,5,,,
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,5.2,13.41,8.179,4.4
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,10,13.43,8.166,4.4
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,15,13.44,8.181,4.4
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,20,13.45,8.178,4.36
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,25,13.45,8.186,4.4
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,30,13.45,8.168,4.36
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,35,13.46,8.183,4.36
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,40.8,13.5,8.245,4.36
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,45,13.81,16.418,1.18
????,1806,B,2015-10-19T08:29,55.0000,13.3000,0048,46.2,13.8,16.422,1.08
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,0,,,0.39
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,1,12.73,7.462,4.75
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,5,12.73,7.462,4.66
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,5.2,12.73,7.462,4.66
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,10,12.73,7.484,4.70
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,15,12.73,7.469,4.70
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,20,,,
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,20.4,12.64,7.5,4.70
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,26.0,12.53,7.514,4.70
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,30,12.52,7.508,4.70
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,35.5,12.48,7.515,4.75
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,40,,,
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,40.6,12.33,7.522,4.75
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,45,6.79,7.555,4.17
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,50,6.39,7.791,3.87
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,56,6.82,8.069,4.02
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,61,6.86,10.777,3.33
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,66,6.82,15.781,1.86
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,71,7.06,17.234,1.42
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,75.9,7.05,18.172,1.23
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,80.9,7.01,18.643,0.93
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,81,,,
????,1836,B,2015-10-20T11:03,55.2500,15.9833,0089,86,6.99,19.171,0.29
0690,5642,B,2015-01-13T09:40,54.0167,13.9583,,0.5,3.5,2.4,8.8
0690,7482,B,2015-01-13T10:45,54.0233,13.7600,,5,3.3,3.4,8.8
0690,7482,B,2015-01-13T10:45,54.0233,13.7600,,6,4.8,3.4,8.8
0690,7890,B,2015-01-20T08:41,54.2883,13.1283,,1,2.3,7.7,8.8
0690,6152,B,2015-01-20T12:59,54.2067,13.5667,,1,3.1,7.9,8.8
0690,6152,B,2015-01-20T12:59,54.2067,13.5667,,8,3.1,7.9,8.7
0690,8831,B,2015-01-21T08:55,54.2033,13.9050,,1,3.2,8.3,8.7
0690,8831,B,2015-01-21T08:55,54.2033,13.9050,,10,3.4,8.4,8.6
0690,6722,B,2015-01-21T10:09,54.1133,14.1167,,1,3.,7.3,8.8
0690,6722,B,2015-01-21T10:09,54.1133,14.1167,,14,3.6,8.2,8.5
0690,6549,B,2015-01-22T08:42,53.8250,14.1000,,1,2.1,2.5,9.2
0690,6549,B,2015-01-22T08:42,53.8250,14.1000,,4,2.3,2.5,9.1
0690,7179,B,2015-01-22T12:10,53.9383,14.2250,,1,2.8,7.,8.7
0690,7179,B,2015-01-22T12:10,53.9383,14.2250,,6,3.6,7.8,8.1
0690,9211,B,2015-01-22T12:46,54.0067,14.2333,,1,3.,6.5,8.8
0690,9211,B,2015-01-22T12:46,54.0067,14.2333,,10,3.3,7.8,8.7
0690,8735,B,2015-01-28T13:13,54.5350,13.7700,,1,2.8,8.6,8.9
0690,8735,B,2015-01-28T13:13,54.5350,13.7700,,22,3.2,9.6,8.3
0690,7273,B,2015-01-28T14:28,54.4617,13.5933,,1,2.9,8.6,8.8
0690,7273,B,2015-01-28T14:28,54.4617,13.5933,,13,3.1,9.,8.5
0690,6458,B,2015-02-09T08:35,54.4017,13.1050,,1,3.2,9.4,9.2
0690,6458,B,2015-02-09T08:35,54.4017,13.1050,,4,3.5,9.4,9.4
0690,6372,B,2015-02-09T09:58,54.5117,13.0500,,1,3.2,10.7,8.8
0690,6372,B,2015-02-09T09:58,54.5117,13.0500,,4,3.5,10.7,8.8
0690,9117,B,2015-02-09T10:56,54.6233,13.0283,,1,3.1,9.7,8.6
0690,9117,B,2015-02-09T10:56,54.6233,13.0283,,13,3.2,9.7,8.6
0690,7674,B,2015-02-10T09:46,54.5067,13.4900,,1,1.7,7.7,9.4
0690,7674,B,2015-02-10T09:46,54.5067,13.4900,,8,1.8,7.8,9.1
0690,6632,B,2015-02-11T11:04,54.7630,13.5950,,1,3.7,9.2,8.7
0690,6632,B,2015-02-11T11:04,54.7630,13.5950,,42,5.6,19.,5.6
0690,8737,B,2015-02-11T12:50,54.5350,13.7700,,1,3.2,8.9,8.6
0690,8737,B,2015-02-11T12:50,54.5350,13.7700,,21,3.5,9.,8.6
0690,7275,B,2015-02-11T13:50,54.4617,13.5933,,1,3.2,9.,8.8
0690,7275,B,2015-02-11T13:50,54.4617,13.5933,,11,3.4,9.,8.7
0690,6154,B,2015-02-24T12:14,54.2067,13.5667,,0.9,2.04,7.8,9.8
0690,6154,B,2015-02-24T12:14,54.2067,13.5667,,8,2.03,7.8,9.8
0690,8833,B,2015-02-25T08:38,54.2033,13.9050,,1,2.14,7.8,9.2
0690,8833,B,2015-02-25T08:38,54.2033,13.9050,,11.2,2.18,7.8,9.2
0690,6724,B,2015-02-25T09:54,54.1133,14.1167,,1,2.17,8.,9.5
0690,6724,B,2015-02-25T09:54,54.1133,14.1167,,13.4,2.16,8.,9.5
0690,9213,B,2015-02-25T10:58,54.0067,14.2333,,0.9,2.19,7.5,9.2
0690,9213,B,2015-02-25T10:58,54.0067,14.2333,,10.0,2.17,7.8,9.2
0690,7181,B,2015-02-25T11:54,53.9383,14.2250,,1,2.29,7.5,9.2
0690,7181,B,2015-02-25T11:54,53.9383,14.2250,,5.6,2.36,7.7,8.8
0690,5643,B,2015-02-26T09:10,54.0167,13.9583,,0.5,2.1,1.5,9.2
0690,7484,B,2015-02-26T10:15,54.0233,13.7600,,0.5,1.8,1.8,10
0690,7484,B,2015-02-26T10:15,54.0233,13.7600,,6,2.,1.8,9.7
0690,7891,B,2015-02-26T12:21,54.2883,13.1283,,0.9,2.29,7.8,9.4
0690,7892,B,2015-03-16T08:41,54.2883,13.1283,,0.9,4.33,7.7,8.9
0690,6156,B,2015-03-16T13:15,54.2067,13.5667,,1,4.15,7.7,9.3
0690,6156,B,2015-03-16T13:15,54.2067,13.5667,,7.8,4.12,7.7,9.4
0690,8835,B,2015-03-17T08:54,54.2033,13.9050,,1,3.72,7.9,10
0690,8835,B,2015-03-17T08:54,54.2033,13.9050,,12.0,3.73,7.9,10
0690,6726,B,2015-03-17T10:06,54.1133,14.1167,,1,3.73,7.4,10.5
0690,6726,B,2015-03-17T10:06,54.1133,14.1167,,13.8,3.49,7.8,10
0690,6550,B,2015-03-17T10:10,53.8250,14.1000,,0.5,4.4,2.2,10.1
0690,6550,B,2015-03-17T10:10,53.8250,14.1000,,5,4.5,2.2,9.9
0690,5644,B,2015-03-17T13:45,54.0167,13.9583,,0.5,5.5,1.7,10.3
0690,7486,B,2015-03-17T15:10,54.0233,13.7600,,0.5,6.,1.6,10.9
0690,7486,B,2015-03-17T15:10,54.0233,13.7600,,7.6,6.1,1.7,10.7
0690,9215,B,2015-03-18T10:44,54.0067,14.2333,,1,4.31,5.9,10.2
0690,9215,B,2015-03-18T10:44,54.0067,14.2333,,10.2,3.51,7.7,10
0690,7183,B,2015-03-18T11:31,53.9383,14.2250,,1,3.94,7.3,10
0690,7183,B,2015-03-18T11:31,53.9383,14.2250,,6.0,3.84,7.4,10
0690,8739,B,2015-03-23T13:38,54.5350,13.7700,,1,4.26,8.3,9.6
0690,8739,B,2015-03-23T13:38,54.5350,13.7700,,18.9,4.14,8.3,9.6
0690,7277,B,2015-03-23T14:39,54.4617,13.5933,,0.9,4.3,8.5,9.4
0690,7277,B,2015-03-23T14:39,54.4617,13.5933,,12.0,4.33,8.6,9.2
0690,6634,B,2015-03-24T10:26,54.7630,13.5950,,1.3,4.29,8.2,9.4
0690,6634,B,2015-03-24T10:26,54.7630,13.5950,,40.8,4.25,13.5,7.5
0690,9119,B,2015-03-24T13:06,54.6233,13.0283,,1.3,4.23,8.7,9.3
0690,9119,B,2015-03-24T13:06,54.6233,13.0283,,12.7,4.1,8.8,9.3
0690,7677,B,2015-03-25T09:51,54.5067,13.4900,,0.9,5.37,7.6,9.4
0690,7677,B,2015-03-25T09:51,54.5067,13.4900,,7.2,5.36,7.6,9.4
0690,6375,B,2015-03-25T13:12,54.5117,13.0500,,1,4.77,8.8,9.3
0690,6375,B,2015-03-25T13:12,54.5117,13.0500,,3.8,4.76,8.8,9.3
0690,6460,B,2015-03-25T14:29,54.4017,13.1050,,1,5.4,7.7,8.9
0690,6460,B,2015-03-25T14:29,54.4017,13.1050,,3.9,5.4,7.7,8.9
0690,7893,B,2015-04-13T08:40,54.2883,13.1283,,1.1,8.8,9.,7.8
0690,8837,B,2015-04-14T08:55,54.2033,13.9050,,0.9,6.35,8.2,8.6
0690,8837,B,2015-04-14T08:55,54.2033,13.9050,,10.9,6.32,8.2,8.7
0690,6728,B,2015-04-14T10:07,54.1133,14.1167,,1.6,7.02,8.1,8.6
0690,6728,B,2015-04-14T10:07,54.1133,14.1167,,13.4,7.02,8.1,8.6
0690,9217,B,2015-04-14T11:13,54.0067,14.2333,,1.1,6.24,7.7,8.8
0690,9217,B,2015-04-14T11:13,54.0067,14.2333,,10.2,6.2,7.8,8.8
0690,7185,B,2015-04-14T12:06,53.9383,14.2250,,1,6.6,7.2,9
0690,7185,B,2015-04-14T12:06,53.9383,14.2250,,5.9,6.53,7.2,8.9
0690,6158,B,2015-04-15T09:43,54.2067,13.5667,,1,7.7,7.6,8.4
0690,6158,B,2015-04-15T09:43,54.2067,13.5667,,7.9,7.69,7.6,8.3
0690,6552,B,2015-04-28T08:45,53.8250,14.1000,,0.5,11.5,1.8,7.3
0690,6552,B,2015-04-28T08:45,53.8250,14.1000,,4,11.3,1.9,7.3
0690,5645,B,2015-04-28T12:55,54.0167,13.9583,,0.5,12.5,1.8,7.9
0690,7488,B,2015-04-28T14:10,54.0233,13.7600,,0.5,12.1,4.4,6.9
0690,7488,B,2015-04-28T14:10,54.0233,13.7600,,7,12.,4.4,6.6
0690,7894,B,2015-05-11T08:41,54.2883,13.1283,,1,13.14,8.5,6.8
0690,6160,B,2015-05-11T13:09,54.2067,13.5667,,0.9,12.29,7.9,7.5
0690,6160,B,2015-05-11T13:09,54.2067,13.5667,,7.9,11.98,7.9,7.3
0690,8839,B,2015-05-12T08:52,54.2033,13.9050,,1.1,10.95,7.7,7.3
0690,8839,B,2015-05-12T08:52,54.2033,13.9050,,11.6,10.91,8.,7.3
0690,6730,B,2015-05-12T10:05,54.1133,14.1167,,1.1,11.33,7.5,7.8
0690,6730,B,2015-05-12T10:05,54.1133,14.1167,,13.2,10.97,7.8,7.3
0690,9219,B,2015-05-12T11:13,54.0067,14.2333,,0.7,11.54,7.1,7.8
0690,9219,B,2015-05-12T11:13,54.0067,14.2333,,10.2,10.5,7.8,7.6
0690,7187,B,2015-05-12T12:07,53.9383,14.2250,,1,11.28,7.2,7.3
0690,7187,B,2015-05-12T12:07,53.9383,14.2250,,6.0,11.09,7.2,7
0690,6554,B,2015-05-19T09:00,53.8250,14.1000,,0.5,12.8,1.4,7.5
0690,6554,B,2015-05-19T09:00,53.8250,14.1000,,4.5,12.9,1.4,7.3
0690,5646,B,2015-05-19T13:10,54.0167,13.9583,,0.5,13.1,2.1,7.1
0690,7490,B,2015-05-19T14:20,54.0233,13.7600,,0.5,13.1,5.2,7.1
0690,7490,B,2015-05-19T14:20,54.0233,13.7600,,6.6,13.2,5.3,7
0690,6462,B,2015-05-26T08:35,54.4017,13.1050,,0.9,14.52,9.8,7.2
0690,6462,B,2015-05-26T08:35,54.4017,13.1050,,4.1,14.52,9.8,7.1
0690,6377,B,2015-05-26T09:50,54.5117,13.0500,,1,13.42,9.5,7.5
0690,6377,B,2015-05-26T09:50,54.5117,13.0500,,4.2,13.42,9.5,7.6
0690,9121,B,2015-05-26T10:51,54.6233,13.0283,,1,11.07,8.3,8.3
0690,9121,B,2015-05-26T10:51,54.6233,13.0283,,12.9,9.02,9.6,7.5
0690,7679,B,2015-05-27T09:38,54.5067,13.4900,,1,14.15,7.7,7.5
0690,7679,B,2015-05-27T09:38,54.5067,13.4900,,8.0,14.15,7.7,7.5
0690,6636,B,2015-05-28T10:42,54.7630,13.5950,,1,10.69,8.1,8.4
0690,6636,B,2015-05-28T10:42,54.7630,13.5950,,40.7,6.04,11.8,7.2
0690,8741,B,2015-05-28T12:43,54.5350,13.7700,,1,11.23,8.1,8.3
0690,8741,B,2015-05-28T12:43,54.5350,13.7700,,19.4,10.24,8.4,7.5
0690,7279,B,2015-05-28T13:46,54.4617,13.5933,,1,11.71,8.4,7.8
0690,7279,B,2015-05-28T13:46,54.4617,13.5933,,12.5,11.5,8.5,7.6
0690,7895,B,2015-06-08T08:46,54.2883,13.1283,,1,16.65,9.4,6.8
0690,8841,B,2015-06-09T08:50,54.2033,13.9050,,1,14.85,8.,7.2
0690,8841,B,2015-06-09T08:50,54.2033,13.9050,,11.2,14.73,8.,7
0690,6732,B,2015-06-09T10:08,54.1133,14.1167,,1,14.77,8.1,7.4
0690,6732,B,2015-06-09T10:08,54.1133,14.1167,,13.6,13.39,8.3,6.1
0690,9221,B,2015-06-09T11:18,54.0067,14.2333,,1,15.65,7.3,7.4
0690,9221,B,2015-06-09T11:18,54.0067,14.2333,,10,13.65,8.,5.2
0690,7188,B,2015-06-09T12:06,53.9383,14.2250,,0.9,16.01,6.3,7.6
0690,7188,B,2015-06-09T12:06,53.9383,14.2250,,5.9,15.31,6.9,6.7
0690,6162,B,2015-06-10T09:13,54.2067,13.5667,,0.9,15.78,8.,7
0690,6162,B,2015-06-10T09:13,54.2067,13.5667,,7.8,15.77,8.,7.1
0690,6556,B,2015-06-16T08:30,53.8250,14.1000,,0.5,18.1,1.6,6
0690,6556,B,2015-06-16T08:30,53.8250,14.1000,,4,17.9,1.7,5.8
0690,5647,B,2015-06-16T12:35,54.0167,13.9583,,0.5,17.4,2.,6.2
0690,7492,B,2015-06-16T13:40,54.0233,13.7600,,0.5,17.4,3.9,6.6
0690,7492,B,2015-06-16T13:40,54.0233,13.7600,,7,16.8,4.3,6.5
